Nocturne,Haunting,http://raw.communitydragon.org/pbe/plugins/rcp-be-lol-game-data/global/default/v1/champion-splashes/56/56004.jpg,Trick-or-Treat
Poppy,Lollipoppy,http://raw.communitydragon.org/pbe/plugins/rcp-be-lol-game-data/global/default/v1/champion-splashes/78/78002.jpg,Sugar Rush
Poppy,Bewitching,http://raw.communitydragon.org/pbe/plugins/rcp-be-lol-game-data/global/default/v1/champion-splashes/78/78024.jpg,Bewitching
Ryze,Pirate,http://raw.communitydragon.org/pbe/plugins/rcp-be-lol-game-data/global/default/v1/champion-splashes/13/13008.jpg,Bilgewater: Burning Tides
Sejuani,Darkrider,http://raw.communitydragon.org/pbe/plugins/rcp-be-lol-game-data/global/default/v1/champion-splashes/113/113002.jpg,Death Sworn
Senna,Bewitching,http://raw.communitydragon.org/pbe/plugins/rcp-be-lol-game-data/global/default/v1/champion-splashes/235/235036.jpg,Bewitching
Soraka,Reaper,http://raw.communitydragon.org/pbe/plugins/rcp-be-lol-game-data/global/default/v1/champion-splashes/16/16004.jpg,Death Sworn
Syndra,Bewitching,http://raw.communitydragon.org/pbe/plugins/rcp-be-lol-game-data/global/default/v1/champion-splashes/134/134025.jpg,Bewitching
Teemo,Little Devil,http://raw.communitydragon.org/pbe/plugins/rcp-be-lol-game-data/global/default/v1/champion-splashes/17/17014.jpg,Demonic
Tristana,Bewitching,http://raw.communitydragon.org/pbe/plugins/rcp-be-lol-game-data/global/default/v1/champion-splashes/18/18011.jpg,Bewitching
Tristana,Little Demon,http://raw.communitydragon.org/pbe/plugins/rcp-be-lol-game-data/global/default/v1/champion-splashes/18/18024.jpg,Demonic
Tryndamere,Nightmare,http://raw.communitydragon.org/pbe/plugins/rcp-be-lol-game-data/global/default/v1/champion-splashes/23/23007.jpg,Trick-or-Treat
Twisted Fate,Underworld,http://raw.communitydragon.org/pbe/plugins/rcp-be-lol-game-data/global/default/v1/champion-splashes/4/4007.jpg,Trick-or-Treat
Urgot,Butcher,http://raw.communitydragon.org/pbe/plugins/rcp-be-lol-game-data/global/default/v1/champion-splashes/6/6002.jpg,Trick-or-Treat
Vayne,Vindicator,http://raw.communitydragon.org/pbe/plugins/rcp-be-lol-game-data/global/default/v1/champion-splashes/67/67001.jpg,Trick-or-Treat
Vi,Demon,http://raw.communitydragon.org/pbe/plugins/rcp-be-lol-game-data/global/default/v1/champion-splashes/254/254004.jpg,Demonic
Viktor,Death Sworn,http://raw.communitydragon.org/pbe/plugins/rcp-be-lol-game-data/global/default/v1/champion-splashes/112/112004.jpg,Death Sworn
Vladimir,Count,http://raw.communitydragon.org/pbe/plugins/rcp-be-lol-game-data/global/default/v1/champion-splashes/8/8001.jpg,Storybook
Vladimir,Nosferatu,http://raw.communitydragon.org/pbe/plugins/rcp-be-lol-game-data/global/default/v1/champion-splashes/8/8003.jpg,Trick-or-Treat
Wukong,Underworld,http://raw.communitydragon.org/pbe/plugins/rcp-be-lol-game-data/global/default/v1/champion-splashes/62/62004.jpg,Death Sworn
Yuumi,Bewitching,http://raw.communitydragon.org/pbe/plugins/rcp-be-lol-game-data/global/default/v1/champion-splashes/350/350028.jpg,Bewitching
Zed,Death Sworn,http://raw.communitydragon.org/pbe/plugins/rcp-be-lol-game-data/global/default/v1/champion-splashes/238/238011.jpg,Death Sworn
Zyra,Haunted,http://raw.communitydragon.org/pbe/plugins/rcp-be-lol-game-data/global/default/v1/champion-splashes/143/143002.jpg,Trick-or-Treat
